Athlete Name,Year,Event,Score,Created At,Updated At
"Zoe Talbot","2024-2025","2025 Lepercq Memorial",15,"2025-08-31T02:33:09.088247+00:00","2025-08-31T02:33:09.088247+00:00"
"Zoe Talbot","2024-2025","2025 Shiai",15,"2025-08-31T02:33:08.959461+00:00","2025-08-31T02:33:08.959461+00:00"
"Zoe Talbot","2024-2025","2024 Kazumi open",15,"2025-08-31T02:33:08.849372+00:00","2025-08-31T02:33:08.849372+00:00"
"Zoe Talbot","2024-2025","2024 Kata Classic",15,"2025-08-31T02:33:08.740826+00:00","2025-08-31T02:33:08.740826+00:00"
"Zhara Trott","2024-2025","2024 Kazumi open",10,"2025-08-31T02:33:08.445579+00:00","2025-08-31T02:33:08.445579+00:00"
"Zecori Talbot","2024-2025","2025 Lepercq Memorial",15,"2025-08-31T02:33:08.246802+00:00","2025-08-31T02:33:08.246802+00:00"
"Zecori Talbot","2024-2025","2024 Kazumi open",15,"2025-08-31T02:33:08.152931+00:00","2025-08-31T02:33:08.152931+00:00"
"Zecori Talbot","2024-2025","2024 Kata Classic",10,"2025-08-31T02:33:08.053242+00:00","2025-08-31T02:33:08.053242+00:00"
"XYAIDEN BURROWS","2024-2025","2024 Kazumi open",10,"2025-08-31T02:33:07.757475+00:00","2025-08-31T02:33:07.757475+00:00"
"Xela Hall","2024-2025","2024 Kazumi open",5,"2025-08-31T02:33:07.547283+00:00","2025-08-31T02:33:07.547283+00:00"
"Will Spriggs","2024-2025","2024 Kata Classic",25,"2025-08-31T02:33:07.249167+00:00","2025-08-31T02:33:07.249167+00:00"
"Vincent Lightbourne","2024-2025","2025 Lepercq Memorial",12,"2025-08-31T02:33:06.937852+00:00","2025-08-31T02:33:06.937852+00:00"
"Vincent Lightbourne","2024-2025","2025 Shiai",15,"2025-08-31T02:33:06.838576+00:00","2025-08-31T02:33:06.838576+00:00"
"Vincent Lightbourne","2024-2025","2024 Kazumi open",25,"2025-08-31T02:33:06.738174+00:00","2025-08-31T02:33:06.738174+00:00"
"Vincent Lightbourne","2024-2025","2024 Kata Classic",15,"2025-08-31T02:33:06.632359+00:00","2025-08-31T02:33:06.632359+00:00"
